name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,540865,2018-05-09T12:03:18+00:00,2026-07-14T19:25:58+00:00,677,947,8.28,3023.45,157,0,35.14,Markdown,0.7149
sindresorhus/awesome,https://github.com/sindresorhus/awesome,497401,2014-07-11T13:42:37+00:00,2026-08-18T13:28:50+00:00,352,368,12.11,4421.38,701,0,0.39,Undefined,0.9565
public-apis/public-apis,https://github.com/public-apis/public-apis,464459,2016-03-20T23:49:42+00:00,2026-08-18T19:20:39+00:00,910,937,10.41,3802.96,2147,0,0.14,Python,0.9712
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454277,2014-12-24T17:49:19+00:00,2026-08-18T21:03:08+00:00,21898,22063,11.65,4255.21,29113,0,0.07,TypeScript,0.9925
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394701,2013-10-11T06:50:37+00:00,2026-08-18T14:16:15+00:00,1255,1293,12.85,4694.66,7423,0,0.36,Python,0.9706
openclaw/openclaw,https://github.com/openclaw/openclaw,386669,2025-11-24T10:16:47+00:00,2026-08-18T22:35:08+00:00,44027,47517,0.73,267.52,26172,234,0.01,TypeScript,0.9266
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364862,2017-03-15T13:45:52+00:00,2026-08-18T11:56:04+00:00,3185,3185,9.43,3443.38,4399,1,0.45,TypeScript,1.0
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,364676,2017-02-26T16:15:28+00:00,2026-03-20T01:52:19+00:00,127,402,9.47,3460.27,210,0,151.87,Python,0.3159
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359156,2016-06-06T02:34:12+00:00,2025-08-28T14:42:47+00:00,455,536,10.2,3725.84,415,0,355.34,Undefined,0.8489
vinta/awesome-python,https://github.com/vinta/awesome-python,314694,2014-06-27T21:00:06+00:00,2026-08-16T13:31:43+00:00,0,0,12.14,4435.07,741,0,2.39,Python,0.0
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,313525,2015-06-01T02:33:17+00:00,2026-08-17T08:30:25+00:00,0,0,11.22,4096.84,0,1,1.6,Undefined,0.0
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,279793,2017-04-12T05:07:46+00:00,2026-08-17T06:46:47+00:00,88,239,9.35,3415.74,194,0,1.67,Python,0.3682
996icu/996.ICU,https://github.com/996icu/996.ICU,276700,2019-03-26T07:31:14+00:00,2025-08-22T06:01:29+00:00,0,0,7.4,2702.64,1072,0,361.7,Undefined,0.0
obra/superpowers,https://github.com/obra/superpowers,273658,2025-10-09T19:45:18+00:00,2026-08-13T00:36:31+00:00,715,852,0.86,313.13,167,12,5.92,Shell,0.8392
react/react,https://github.com/react/react,247416,2013-05-24T16:15:54+00:00,2026-08-17T11:16:23+00:00,13801,14619,13.24,4834.27,13034,132,1.48,JavaScript,0.944
torvalds/linux,https://github.com/torvalds/linux,243215,2011-09-04T22:48:12+00:00,2026-08-18T22:00:42+00:00,0,0,14.95,5462.0,0,0,0.03,C,0.0
affaan-m/ECC,https://github.com/affaan-m/ECC,240950,2026-01-18T00:51:51+00:00,2026-08-18T20:07:38+00:00,667,710,0.58,212.91,997,15,0.11,JavaScript,0.9394
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,239015,2018-06-23T10:43:14+00:00,2024-11-19T14:00:38+00:00,0,0,8.15,2978.5,122,0,637.37,Undefined,0.0
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,232518,2025-07-22T22:22:28+00:00,2026-08-18T22:25:50+00:00,11263,22431,1.07,392.02,11188,28,0.02,Python,0.5021
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223839,2016-07-16T09:44:01+00:00,2026-08-03T18:44:56+00:00,1606,1749,10.09,3685.54,3088,0,15.17,Python,0.9182
mattpocock/skills,https://github.com/mattpocock/skills,221443,2026-02-03T11:15:53+00:00,2026-08-17T07:54:42+00:00,304,663,0.54,196.48,90,7,1.62,Shell,0.4585
vuejs/vue,https://github.com/vuejs/vue,210238,2013-07-29T03:24:51+00:00,2024-10-10T07:24:15+00:00,9670,10035,13.06,4768.81,1136,249,677.64,TypeScript,0.9636
ossu/computer-science,https://github.com/ossu/computer-science,208142,2014-05-04T00:18:39+00:00,2026-07-14T05:38:25+00:00,658,675,12.29,4489.94,315,0,35.71,HTML,0.9748
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,203625,2026-01-27T03:53:13+00:00,2026-04-20T10:05:04+00:00,0,0,0.56,203.79,12,0,120.53,Undefined,0.0
n8n-io/n8n,https://github.com/n8n-io/n8n,201115,2019-06-22T09:24:21+00:00,2026-08-18T22:19:10+00:00,9695,10033,7.16,2614.56,20120,764,0.02,TypeScript,0.9663
anomalyco/opencode,https://github.com/anomalyco/opencode,198825,2025-04-30T20:08:00+00:00,2026-08-18T21:55:10+00:00,20072,24015,1.3,475.11,7320,860,0.04,TypeScript,0.8358
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197045,2015-11-07T01:19:20+00:00,2026-08-18T22:29:59+00:00,40926,41699,10.78,3937.89,48928,222,0.01,C++,0.9815
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196518,2018-03-24T07:47:04+00:00,2026-07-26T02:43:08+00:00,238,373,8.4,3069.63,309,0,23.84,JavaScript,0.6381
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195087,2026-03-31T08:58:08+00:00,2026-08-16T06:18:45+00:00,2195,2211,0.38,140.58,143,0,2.69,Rust,0.9928
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,194174,2024-05-30T13:23:00+00:00,2026-08-12T10:36:46+00:00,0,0,2.22,810.39,0,0,6.51,Markdown,0.0
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189252,2009-08-28T18:15:37+00:00,2026-08-17T21:45:08+00:00,4925,5079,16.97,6199.19,3653,0,1.04,Shell,0.9697
microsoft/vscode,https://github.com/microsoft/vscode,188910,2015-09-03T20:23:38+00:00,2026-08-18T22:37:10+00:00,233639,251153,10.96,4002.1,52118,233,0.01,TypeScript,0.9303
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,187470,2020-01-12T23:03:34+00:00,2026-07-04T16:54:38+00:00,1067,1073,6.6,2409.99,7,31,45.25,Batchfile,0.9944
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186672,2023-03-16T09:21:07+00:00,2026-08-18T20:50:31+00:00,3651,3939,3.43,1251.56,4773,117,0.08,Python,0.9269
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185444,2018-02-13T14:56:24+00:00,2024-08-21T09:40:10+00:00,449,579,8.51,3108.33,374,0,727.55,Undefined,0.7755
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,185389,2020-10-26T04:22:55+00:00,2026-08-18T12:10:11+00:00,9949,11921,5.81,2122.77,3402,135,0.44,Python,0.8346
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185335,2018-03-01T16:05:52+00:00,2026-07-29T15:18:29+00:00,193,729,8.47,3092.28,13,0,20.31,Jupyter Notebook,0.2647
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184709,2013-11-16T02:37:24+00:00,2026-02-15T04:36:44+00:00,947,947,12.76,4658.84,370,0,184.76,Undefined,1.0
avelino/awesome-go,https://github.com/avelino/awesome-go,181425,2014-07-06T13:42:15+00:00,2026-08-18T22:23:15+00:00,736,759,12.12,4426.38,3873,0,0.02,Go,0.9697
ollama/ollama,https://github.com/ollama/ollama,178902,2023-06-26T19:39:32+00:00,2026-08-18T22:23:13+00:00,8588,11008,3.15,1149.13,3526,245,0.02,Go,0.7802
flutter/flutter,https://github.com/flutter/flutter,178470,2015-03-06T22:54:58+00:00,2026-08-18T22:02:09+00:00,102634,115220,11.45,4182.99,49629,7,0.03,Dart,0.8908
github/gitignore,https://github.com/github/gitignore,175361,2010-11-08T20:17:14+00:00,2026-07-23T16:06:45+00:00,0,0,15.78,5762.1,1779,0,26.28,Undefined,0.0
twbs/bootstrap,https://github.com/twbs/bootstrap,174609,2011-07-29T21:19:00+00:00,2026-08-18T09:04:43+00:00,22838,22943,15.06,5499.06,9481,94,0.57,MDX,0.9954
microsoft/markitdown,https://github.com/microsoft/markitdown,174493,2024-11-13T19:56:40+00:00,2026-07-29T18:18:09+00:00,181,570,1.76,643.12,183,20,20.19,Python,0.3175
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,171585,2016-05-04T06:24:11+00:00,2026-08-02T07:58:25+00:00,2708,3320,10.29,3758.68,17,68,16.62,Python,0.8157
anthropics/skills,https://github.com/anthropics/skills,170275,2025-09-22T15:53:31+00:00,2026-08-18T16:02:06+00:00,49,364,0.9,330.29,50,0,0.28,Python,0.1346
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,169112,2024-04-15T21:02:29+00:00,2026-08-18T15:15:06+00:00,886,952,2.34,855.07,1933,35,0.31,TypeScript,0.9307
f/prompts.chat,https://github.com/f/prompts.chat,167453,2022-12-05T13:54:13+00:00,2026-08-18T03:20:31+00:00,152,172,3.7,1352.37,236,0,0.81,HTML,0.8837
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164568,2022-08-22T14:05:26+00:00,2026-03-02T07:00:53+00:00,5491,7913,3.99,1457.36,1875,27,169.66,Python,0.6939
huggingface/transformers,https://github.com/huggingface/transformers,164226,2018-10-29T13:56:00+00:00,2026-08-18T22:31:30+00:00,18452,19326,7.8,2850.37,20207,268,0.01,Python,0.9548
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162118,2015-05-20T15:11:03+00:00,2024-06-25T18:13:44+00:00,138,264,11.25,4108.32,317,0,784.19,Undefined,0.5227
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,160153,2026-08-13T11:56:32+00:00,2026-08-17T12:01:58+00:00,0,0,0.01,5.45,0,1,1.45,TypeScript,0.0
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,157867,2018-05-07T13:27:00+00:00,2026-08-18T13:05:40+00:00,1100,1158,8.28,3025.39,1270,0,0.4,JavaScript,0.9499
langflow-ai/langflow,https://github.com/langflow-ai/langflow,153427,2023-02-08T22:28:03+00:00,2026-08-18T22:37:00+00:00,3208,3423,3.52,1287.01,7294,303,0.01,Python,0.9372
langgenius/dify,https://github.com/langgenius/dify,152839,2023-04-12T07:40:24+00:00,2026-08-18T19:36:55+00:00,18359,18645,3.35,1224.63,13413,168,0.13,TypeScript,0.9847
open-webui/open-webui,https://github.com/open-webui/open-webui,149153,2023-10-06T22:08:27+00:00,2026-08-18T17:35:34+00:00,9195,9393,2.87,1047.03,4058,167,0.22,Python,0.9789
airbnb/javascript,https://github.com/airbnb/javascript,148136,2012-11-01T23:13:50+00:00,2026-04-16T19:24:09+00:00,1316,1416,13.79,5037.98,822,0,124.14,JavaScript,0.9294
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,147866,2017-11-21T18:00:27+00:00,2026-08-17T10:27:07+00:00,3355,6147,8.74,3192.2,153,52,1.51,C,0.5458
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,146111,2025-10-13T12:12:29+00:00,2026-08-06T13:29:47+00:00,87,145,0.85,309.44,222,0,12.39,Shell,0.6
langchain-ai/langchain,https://github.com/langchain-ai/langchain,144498,2022-10-17T02:58:36+00:00,2026-08-18T22:34:33+00:00,9674,9994,3.84,1401.83,17266,1000,0.01,Python,0.968
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,142895,2025-03-05T16:38:29+00:00,2026-08-11T13:01:09+00:00,121,212,1.45,531.26,52,0,7.41,Undefined,0.5708
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,141964,2016-07-05T05:00:48+00:00,2026-08-07T12:06:42+00:00,92,126,10.12,3696.74,494,0,11.45,TypeScript,0.7302
anthropics/claude-code,https://github.com/anthropics/claude-code,141892,2025-02-22T17:41:21+00:00,2026-08-18T20:38:54+00:00,70767,85030,1.48,542.21,162,191,0.09,Python,0.8323
vercel/next.js,https://github.com/vercel/next.js,141857,2016-10-05T23:32:51+00:00,2026-08-18T22:37:44+00:00,23279,25200,9.87,3603.97,28216,1000,0.01,JavaScript,0.9238
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140969,2010-10-31T14:35:07+00:00,2026-02-19T16:45:25+00:00,23205,26831,15.8,5770.34,1646,341,180.25,Python,0.8649
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,138647,2023-11-21T18:24:03+00:00,2026-08-18T15:53:24+00:00,5419,5802,2.74,1001.18,1014,67,0.29,TypeScript,0.934
microsoft/PowerToys,https://github.com/microsoft/PowerToys,137853,2019-05-01T17:44:02+00:00,2026-08-18T20:32:02+00:00,33760,41143,7.3,2666.21,7010,141,0.09,C,0.8206
iptv-org/iptv,https://github.com/iptv-org/iptv,136118,2018-11-14T22:00:57+00:00,2026-08-18T15:50:42+00:00,34467,34489,7.76,2834.03,6997,0,0.29,TypeScript,0.9994
golang/go,https://github.com/golang/go,135892,2014-08-19T04:33:40+00:00,2026-08-18T21:27:39+00:00,63168,72869,12.0,4382.76,1,0,0.06,Go,0.8669
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135371,2020-02-19T09:01:23+00:00,2026-02-28T10:07:31+00:00,981,981,6.5,2372.57,244,0,171.53,Markdown,1.0
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,133122,2024-04-29T05:30:25+00:00,2026-08-17T02:42:50+00:00,168,174,2.3,841.72,242,0,1.84,Python,0.9655
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,132144,2015-03-18T21:06:26+00:00,2026-08-17T11:45:22+00:00,0,0,11.42,4171.07,3080,0,1.46,HTML,0.0
github/spec-kit,https://github.com/github/spec-kit,130129,2025-08-21T22:54:31+00:00,2026-08-18T19:24:18+00:00,1358,1512,0.99,362.0,1396,212,0.14,Python,0.8981
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,129965,2020-01-02T01:04:43+00:00,2026-08-16T15:30:04+00:00,2650,4911,6.63,2420.9,3961,15,2.3,TypeScript,0.5396
krahets/hello-algo,https://github.com/krahets/hello-algo,129460,2022-11-04T11:08:34+00:00,2026-08-17T20:58:58+00:00,278,292,3.79,1383.49,996,10,1.08,Java,0.9521
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,128741,2017-11-29T17:35:03+00:00,2026-08-08T05:23:45+00:00,300,300,8.72,3184.22,855,12,10.73,JavaScript,1.0
garrytan/gstack,https://github.com/garrytan/gstack,128586,2026-03-11T21:22:45+00:00,2026-08-18T17:44:43+00:00,461,767,0.44,160.06,306,0,0.21,TypeScript,0.601
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,128286,2023-01-17T03:15:56+00:00,2026-08-18T21:52:39+00:00,5043,9146,3.59,1309.81,3157,153,0.04,Python,0.5514
farion1231/cc-switch,https://github.com/farion1231/cc-switch,128080,2025-08-04T14:16:16+00:00,2026-08-18T08:57:45+00:00,3183,4668,1.04,379.36,458,51,0.58,Rust,0.6819
react/react-native,https://github.com/react/react-native,126360,2015-01-09T18:10:16+00:00,2026-08-18T19:37:58+00:00,27105,27780,11.61,4239.19,999,471,0.13,C++,0.9757
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,124578,2014-06-06T22:56:04+00:00,2026-08-18T18:53:48+00:00,47701,49541,12.2,4455.99,65650,810,0.16,Go,0.9629
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,124545,2023-03-10T18:58:00+00:00,2026-08-18T22:33:23+00:00,8771,9529,3.44,1257.16,9740,1000,0.01,C++,0.9205
electron/electron,https://github.com/electron/electron,122564,2013-04-12T01:47:36+00:00,2026-08-18T22:37:41+00:00,21142,21825,13.35,4876.88,26624,1000,0.01,C++,0.9687
shadcn-ui/ui,https://github.com/shadcn-ui/ui,121592,2023-01-04T12:43:27+00:00,2026-08-18T05:50:01+00:00,3169,4235,3.62,1322.42,1438,117,0.71,TypeScript,0.7483
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,121198,2020-09-28T15:36:08+00:00,2026-08-18T07:02:50+00:00,4226,4310,5.89,2150.3,4208,39,0.66,Rust,0.9805
