rq,metrica,categoria,valor,n
rq01,mediana_idade_anos,,8.265,100
rq01,mediana_idade_dias,,3019.145,100
rq02,mediana_prs_aceitas,,1253.5,100
rq03,mediana_releases,,15.0,100
rq03,repositorios_sem_release,,41,100
rq03,contagem_censurada_no_teto,,4,100
rq04,mediana_dias_desde_atualizacao,,0.81,100
rq05,contagem_por_linguagem,Python,24,100
rq05,contagem_por_linguagem,TypeScript,17,100
rq05,contagem_por_linguagem,Undefined,13,100
rq05,contagem_por_linguagem,JavaScript,10,100
rq05,contagem_por_linguagem,C++,5,100
rq05,contagem_por_linguagem,Rust,5,100
rq05,contagem_por_linguagem,Shell,5,100
rq05,contagem_por_linguagem,Go,4,100
rq05,contagem_por_linguagem,C,3,100
rq05,contagem_por_linguagem,HTML,3,100
rq05,contagem_por_linguagem,Markdown,3,100
rq05,contagem_por_linguagem,Jupyter Notebook,2,100
rq05,contagem_por_linguagem,Batchfile,1,100
rq05,contagem_por_linguagem,C#,1,100
rq05,contagem_por_linguagem,Dart,1,100
rq05,contagem_por_linguagem,Java,1,100
rq05,contagem_por_linguagem,MDX,1,100
rq05,contagem_por_linguagem,Swift,1,100
rq05,linguagens_distintas,,18,100
rq06,mediana_razao_issues_fechadas,,0.8927,100
rq06,mediana_razao_issues_fechadas_excluindo_sem_issues,,0.9277,89
rq06,repositorios_sem_issues,,11,100
