name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,539335,2018-05-09T12:03:18+00:00,2026-07-14T19:25:58+00:00,677,943,8.26,3018.17,157,0,29.87,Markdown,0.7179
sindresorhus/awesome,https://github.com/sindresorhus/awesome,495251,2014-07-11T13:42:37+00:00,2026-06-30T18:21:16+00:00,352,368,12.09,4416.1,700,0,43.91,Undefined,0.9565
public-apis/public-apis,https://github.com/public-apis/public-apis,455880,2016-03-20T23:49:42+00:00,2026-08-12T09:25:54+00:00,911,921,10.4,3797.68,2119,0,1.28,Python,0.9891
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,453944,2014-12-24T17:49:19+00:00,2026-08-13T09:34:16+00:00,21882,22055,11.64,4249.93,29083,0,0.28,TypeScript,0.9922
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394312,2013-10-11T06:50:37+00:00,2026-08-11T12:11:06+00:00,1254,1292,12.84,4689.39,7417,0,2.17,Python,0.9706
openclaw/openclaw,https://github.com/openclaw/openclaw,386170,2025-11-24T10:16:47+00:00,2026-08-13T14:37:17+00:00,43517,46908,0.72,262.25,24549,233,0.07,TypeScript,0.9277
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364315,2017-03-15T13:45:52+00:00,2026-08-13T09:38:56+00:00,3183,3184,9.41,3438.1,4388,1,0.27,TypeScript,0.9997
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,363599,2017-02-26T16:15:28+00:00,2026-03-20T01:52:19+00:00,127,399,9.46,3455.0,210,0,146.6,Python,0.3183
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,358615,2016-06-06T02:34:12+00:00,2025-08-28T14:42:47+00:00,455,536,10.19,3720.57,415,0,350.06,Undefined,0.8489
vinta/awesome-python,https://github.com/vinta/awesome-python,313731,2014-06-27T21:00:06+00:00,2026-08-05T06:11:04+00:00,0,0,12.13,4429.8,738,0,8.42,Python,0.0
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,312376,2015-06-01T02:33:17+00:00,2026-08-12T18:50:03+00:00,0,0,11.2,4091.57,0,1,0.89,Undefined,0.0
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,278995,2017-04-12T05:07:46+00:00,2026-08-10T07:04:22+00:00,88,239,9.34,3410.46,194,0,3.38,Python,0.3682
996icu/996.ICU,https://github.com/996icu/996.ICU,276623,2019-03-26T07:31:14+00:00,2025-08-22T06:01:29+00:00,0,0,7.38,2697.36,1071,0,356.42,Undefined,0.0
obra/superpowers,https://github.com/obra/superpowers,271586,2025-10-09T19:45:18+00:00,2026-08-13T00:36:31+00:00,692,841,0.84,307.85,167,12,0.65,Shell,0.8228
react/react,https://github.com/react/react,247220,2013-05-24T16:15:54+00:00,2026-08-13T14:17:49+00:00,13799,14612,13.22,4829.0,13033,132,0.08,JavaScript,0.9444
torvalds/linux,https://github.com/torvalds/linux,242727,2011-09-04T22:48:12+00:00,2026-08-12T15:31:28+00:00,0,0,14.94,5456.73,0,0,1.03,C,0.0
affaan-m/ECC,https://github.com/affaan-m/ECC,239888,2026-01-18T00:51:51+00:00,2026-08-12T22:45:12+00:00,663,703,0.57,207.64,990,15,0.73,JavaScript,0.9431
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,238143,2018-06-23T10:43:14+00:00,2024-11-19T14:00:38+00:00,0,0,8.14,2973.23,122,0,632.09,Undefined,0.0
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,229943,2025-07-22T22:22:28+00:00,2026-08-13T10:38:56+00:00,10644,21269,1.06,386.74,10458,24,0.23,Python,0.5004
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223717,2016-07-16T09:44:01+00:00,2026-08-03T18:44:56+00:00,1606,1749,10.08,3680.27,3088,0,9.89,Python,0.9182
mattpocock/skills,https://github.com/mattpocock/skills,215991,2026-02-03T11:15:53+00:00,2026-08-13T09:06:37+00:00,300,623,0.52,191.21,86,7,0.3,Shell,0.4815
vuejs/vue,https://github.com/vuejs/vue,210230,2013-07-29T03:24:51+00:00,2024-10-10T07:24:15+00:00,9670,10035,13.04,4763.53,1136,249,672.37,TypeScript,0.9636
ossu/computer-science,https://github.com/ossu/computer-science,207953,2014-05-04T00:18:39+00:00,2026-07-14T05:38:25+00:00,658,674,12.28,4484.66,315,0,30.44,HTML,0.9763
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,202086,2026-01-27T03:53:13+00:00,2026-04-20T10:05:04+00:00,0,0,0.54,198.51,12,0,115.26,Undefined,0.0
n8n-io/n8n,https://github.com/n8n-io/n8n,200479,2019-06-22T09:24:21+00:00,2026-08-13T14:34:32+00:00,9642,9981,7.14,2609.28,19887,760,0.07,TypeScript,0.966
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,196996,2015-11-07T01:19:20+00:00,2026-08-13T14:38:55+00:00,40897,41678,10.77,3932.62,48855,222,0.07,C++,0.9813
anomalyco/opencode,https://github.com/anomalyco/opencode,196961,2025-04-30T20:08:00+00:00,2026-08-13T14:32:57+00:00,19640,23537,1.29,469.84,7078,860,0.07,TypeScript,0.8344
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196459,2018-03-24T07:47:04+00:00,2026-07-26T02:43:08+00:00,238,373,8.39,3064.35,309,0,18.56,JavaScript,0.6381
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195071,2026-03-31T08:58:08+00:00,2026-08-06T11:18:35+00:00,2195,2211,0.37,135.3,141,0,7.2,Rust,0.9928
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,192564,2024-05-30T13:23:00+00:00,2026-08-12T10:36:46+00:00,0,0,2.2,805.12,0,0,1.23,Markdown,0.0
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189153,2009-08-28T18:15:37+00:00,2026-08-11T11:03:43+00:00,4926,5077,16.96,6193.91,3650,0,2.21,Shell,0.9703
