rq,metrica,categoria,valor,n
rq01,mediana_idade_anos,,7.75,1000
rq01,mediana_idade_dias,,2829.465,1000
rq02,mediana_prs_aceitas,,768.0,1000
rq03,mediana_releases,,39.0,1000
rq03,repositorios_sem_release,,286,1000
rq03,contagem_censurada_no_teto,,21,1000
rq04,mediana_dias_desde_atualizacao,,1.81,1000
rq05,contagem_por_linguagem,Python,228,1000
rq05,contagem_por_linguagem,TypeScript,174,1000
rq05,contagem_por_linguagem,JavaScript,111,1000
rq05,contagem_por_linguagem,Undefined,87,1000
rq05,contagem_por_linguagem,Go,76,1000
rq05,contagem_por_linguagem,Rust,57,1000
rq05,contagem_por_linguagem,C++,41,1000
rq05,contagem_por_linguagem,Java,41,1000
rq05,contagem_por_linguagem,Jupyter Notebook,24,1000
rq05,contagem_por_linguagem,C,21,1000
rq05,contagem_por_linguagem,Shell,20,1000
rq05,contagem_por_linguagem,Ruby,13,1000
rq05,contagem_por_linguagem,HTML,11,1000
rq05,contagem_por_linguagem,Swift,10,1000
rq05,contagem_por_linguagem,Kotlin,9,1000
rq05,contagem_por_linguagem,C#,8,1000
rq05,contagem_por_linguagem,CSS,8,1000
rq05,contagem_por_linguagem,Dart,6,1000
rq05,contagem_por_linguagem,Vue,6,1000
rq05,contagem_por_linguagem,Markdown,5,1000
rq05,contagem_por_linguagem,Clojure,4,1000
rq05,contagem_por_linguagem,MDX,4,1000
rq05,contagem_por_linguagem,PHP,4,1000
rq05,contagem_por_linguagem,Vim Script,3,1000
rq05,contagem_por_linguagem,Zig,3,1000
rq05,contagem_por_linguagem,Astro,2,1000
rq05,contagem_por_linguagem,Dockerfile,2,1000
rq05,contagem_por_linguagem,Haskell,2,1000
rq05,contagem_por_linguagem,Makefile,2,1000
rq05,contagem_por_linguagem,PowerShell,2,1000
rq05,contagem_por_linguagem,Scala,2,1000
rq05,contagem_por_linguagem,TeX,2,1000
rq05,contagem_por_linguagem,Assembly,1,1000
rq05,contagem_por_linguagem,Batchfile,1,1000
rq05,contagem_por_linguagem,Blade,1,1000
rq05,contagem_por_linguagem,Elixir,1,1000
rq05,contagem_por_linguagem,Julia,1,1000
rq05,contagem_por_linguagem,LLVM,1,1000
rq05,contagem_por_linguagem,Lua,1,1000
rq05,contagem_por_linguagem,Nunjucks,1,1000
rq05,contagem_por_linguagem,Objective-C,1,1000
rq05,contagem_por_linguagem,Roff,1,1000
rq05,contagem_por_linguagem,Svelte,1,1000
rq05,contagem_por_linguagem,V,1,1000
rq05,linguagens_distintas,,44,1000
rq06,mediana_razao_issues_fechadas,,0.8648,1000
rq06,mediana_razao_issues_fechadas_excluindo_sem_issues,,0.8761,957
rq06,repositorios_sem_issues,,43,1000
